state,up,down,left,right
"0,0,2,2",0.0,24.90686587951464,6.509634211047399,14.07030096262551
"0,2,2,2",16.40555432610972,26.543238926095746,17.20281409149505,15.718832005770512
"0,2,2,4",16.49496687240932,0.0,0.0,11.062695377050275
"2,2,2,4",3.1086945736798564,18.175547543385758,3.6184112074839474,-0.8893185227929574
"2,2,4,4",0.0,0.0,15.585819926135647,11.352039103945346
"0,8,2,4",0.0,8.834922380005239,0.0,0.013334507172410748
"2,4,8,2",0.0,0.0,0.0,0.0
"0,2,4,8",0.0,13.680180255814554,-0.7649148282327007,0.0
"0,2,2,0",10.014892798037124,16.896818869509865,9.30810933327059,25.86572665118739
"0,4,2,2",4.3117990669524335,0.0,4.073197614576918,24.84414472393505
"2,2,4,8",0.0,0.0,14.539602328918868,-0.15606589954667138
"2,4,4,8",0.0,0.0,0.0,0.0
"0,2,4,4",-0.2304019236106294,8.71027057647845,0.0,-0.617570463519
"2,4,4,2",0.0,0.0,0.0,0.0
"0,2,4,0",3.3685778654201517,1.9157469790598975,4.690193253597323,20.965138125406327
"0,2,4,2",9.27439083915356,30.58887997952682,3.9832555284055866,0.0
"2,4,4,4",8.100121127744597,3.6754903918218504,1.897,0.7000000000000001
"2,2,8,4",12.234222035861281,-0.6757403008392838,0.0,0.0
"2,4,8,4",0.0,0.0,-0.6513215599,13.435315061779203
"2,2,8,8",14.094370378285378,14.21455096494561,0.0,0.0
"0,16,2,4",-0.7188318915961633,0.0,0.0,-1.2934455438176247
"2,2,4,16",0.0,0.0,-1.2619774299036444,-1.0033581913291578
"2,16,4,4",-0.9958254420820708,-1.032026862876816,0.0,0.0
"2,8,16,2",0.0,0.0,0.0,0.0
"0,4,2,4",0.0,-0.6175704635189999,0.1282185035539462,19.631796909115856
"0,0,2,4",0.0,21.452278440601557,0.0,0.0
"0,8,2,2",0.0,20.864076055503833,1.82634586194205,0.6330876747698171
"2,8,4,4",0.0,0.0,7.113598444205889,-0.8499053647030009
"2,8,8,2",0.0,0.0,0.0,0.0
"0,4,2,8",-0.512579511,0.0,0.0,16.654242430572783
"2,4,8,8",-0.15874129000000003,-0.1,0.0,0.0
"2,2,16,4",0.0,0.0,0.4916108190571097,5.999995992643879
"2,4,16,4",6.999999999999896,3.899437530000001,0.0,0.0
"0,8,4,2",11.567578995648212,0.0,0.0,-0.19
"0,2,8,4",2.8905113724038616,0.0,0.0,0.5706170176279162
"0,0,2,8",0.0,0.0,1.529550882880199,0.0
"0,2,2,8",0.0,1.999555451418205,0.0,0.26068758148243665
"2,2,2,8",6.15515680607068,2.1523627030555432,1.4634297817659117,1.0317000000000005
"0,0,4,2",20.068466920030637,0.0,0.0,0.0
"0,2,8,8",-0.09,-0.09,0.0,-0.09
"0,2,16,2",0.0,0.0,-0.09,0.0
"2,2,2,16",0.3,7.87376405208874,-0.0017279692241297996,0.0
"0,4,8,2",-0.09,0.0,0.0,4.452753175186798
"0,4,4,2",15.22557686222299,0.0,0.0662599379750853,0.0
"2,8,8,4",0.0,0.0,0.0,0.0
"0,2,4,16",-1.0187315015116611,0.0,-1.3620170566188388,0.0
"2,4,16,2",0.0,0.0,0.0,0.0
"0,2,8,2",0.0096475000000001,0.0,1.06426232649204,7.5815785563773535
"0,4,2,16",0.0,9.575737504711668,0.0,-0.5861894039100001
"2,2,16,8",1.8915532075337465,3.1027538688857463,0.0,0.0
"2,4,16,8",0.0,0.0,0.0,0.0
"0,2,2,16",2.83552566206067,0.0,0.0,-0.087
"0,2,16,4",-0.368559,0.0,5.38458902293948,0.0
"2,8,4,8",5.292871136453464,-0.39421533764249206,0.0,0.0
"2,4,4,16",0.0,0.0,0.0,0.0
"2,8,8,16",0.0,0.0,0.0,0.0
"0,2,8,0",0.0,0.0,13.492787136712105,-0.079647386406798
"0,16,2,8",-0.46717561,0.0,-0.368559,0.0
"2,2,8,16",0.0,0.0,-0.56953279,-0.57953279
"2,4,8,16",0.0,0.0,0.0,0.0
"2,8,16,8",-0.24400000000000002,-0.271,0.0,0.0
"2,2,16,16",0.0,0.0,0.0,0.5700000000000001
"0,2,4,32",0.0,-0.09,0.0,0.0
"2,2,4,32",-0.1,0.0,0.0,0.0
"2,4,4,32",0.0,0.0,0.0,0.0
"2,8,4,16",0.0,0.0,0.0,0.0
"0,0,8,2",0.0,0.0,0.0,1.061950464338411
"2,16,4,8",0.0,0.0,0.0,0.0
"2,16,8,4",0.0,0.0,0.0,0.0
"0,8,2,8",0.0,13.203143528295543,0.0,0.0
"0,16,2,2",-0.19729473304349382,-0.31560886692863765,0.0,-0.2264761
"0,2,16,8",0.0,-0.09,0.0,1.5239589558100788
"0,2,32,4",-0.09000000000000001,0.0,-0.181,0.0
"2,2,32,4",0.0,0.0,-0.19,-0.12000000000000001
"2,4,32,4",0.0,1.33,0.0,0.0
"2,2,32,8",0.0,0.0,-0.1,-0.1
"2,8,4,32",0.0,0.0,0.0,0.0
"0,4,16,2",-0.09,0.0,0.0,0.0
"0,8,2,16",0.0,-0.09,1.4292333712164784,0.0
"2,8,16,4",0.0,0.0,0.0,0.0
"0,2,8,16",-0.2439,0.0,-0.24756031,0.0
"2,16,8,8",0.0,0.0,-0.13350759999999995,-0.271
"2,16,16,2",0.0,0.0,0.0,0.0
"2,4,32,2",0.0,0.0,0.0,0.0
"0,32,2,4",-0.09000000000000001,0.0,0.0,-0.171
"0,4,2,32",-0.09000000000000001,0.0,0.0,-0.18100000000000002
"0,16,4,2",0.0,0.0,1.0864760918371894,0.0
"2,16,16,4",0.0,0.0,0.0,0.0
"2,32,4,4",-0.1,-0.1,0.0,0.0
"2,8,32,2",0.0,0.0,0.0,0.0
"2,16,4,16",-0.1,0.0,0.0,0.0
