state,up,down,left,right
"2,0,2,0",16.40330164954207,16.108270005885636,0.0,23.870447713373206
"4,2,0,2",9.064000159115128,28.356882597202976,12.584435670950983,0.0
"4,2,2,2",26.000911153018762,1.9539646797000005,7.999054744156643,3.668095568286411
"4,4,2,2",0.0,0.0,6.842772783945394,24.927523847268006
"2,8,0,4",0.0,20.76953754739053,1.420837615752576,0.0
"2,8,4,4",0.0,0.0,6.8423012031854284,26.53886678277477
"2,8,8,2",0.0,0.0,0.0,0.0
"0,2,8,0",10.169978839099036,1.427075667168501,0.2114044680967035,-0.08
"2,0,8,2",23.898779225064587,0.0,0.0,6.597844096895274
"2,2,8,2",1.2285300000000003,24.095097747047973,0.6551785604151852,-0.47997758409400004
"2,2,8,4",0.0,0.0,-0.5217031000000001,20.818549177058195
"4,2,8,4",0.0,0.0,0.0,0.0
"2,2,0,2",13.608149528454456,21.829497555842398,2.435875246952008,13.329405538423298
"4,2,2,0",0.0,19.208712855164833,0.0,25.699702702942858
"0,2,2,0",19.11559969680826,27.669322387410812,18.742748104506244,23.03783964280651
"4,2,2,4",0.0,0.0,0.0,0.0
"2,0,4,0",0.0,0.0,0.0,22.195958916767857
"2,4,0,4",33.09581453816322,13.561630775792704,-0.31525895791634195,0.0
"2,4,4,4",1.33,20.75793008385294,1.8970000000000002,5.47301302630985
"2,4,8,2",0.0,0.0,0.0,0.0
"8,0,2,2",1.0557250815596906,0.0,2.6130544131583724,14.73301615755717
"2,0,0,4",24.457094659397036,5.451587311087329,9.952696268640077,14.138494004794156
"2,8,2,8",19.723445468271304,14.23326962360856,0.0,0.0
"4,16,2,0",0.0,-0.8566477708946314,0.0,4.701971447742545
"4,2,2,16",0.0,0.0,0.0,0.0
"2,0,4,8",1.0954741402915693,0.0,0.0,16.00181898124872
"8,2,0,4",0.0,8.496461554855669,-0.09,0.0
"2,4,4,0",0.0,21.108739061605817,0.0,6.290771275186655
"4,2,16,2",5.9863504594878885,2.6538643409161433,0.0,0.0
"4,4,16,2",0.0,0.0,2.619809320262516,-0.8332281830033342
"8,2,16,2",3.488304816189215,2.800376405651707,0.0,0.0
"8,4,16,2",0.0,0.0,0.0,0.0
"16,2,4,8",0.0,0.0,0.0,0.0
"2,4,8,8",0.0,0.0,0.0,12.756603733616142
"2,4,4,16",0.0,0.0,0.0,0.0
"0,2,4,16",-0.9130368431095038,0.0,-1.2790064988368743,0.0
"2,8,16,2",0.0,0.0,0.0,0.0
"8,4,2,8",0.0,0.0,0.0,0.0
"2,8,0,0",0.0,7.16153177053142,0.0,0.0
"8,8,2,0",0.0,-0.171,-0.171,0.411570813221143
"16,0,2,2",-0.141,0.0,0.31,0.0
"16,2,2,2",0.0,0.0,0.0,0.5700000000000001
"2,4,8,16",0.0,0.0,0.0,0.0
"2,0,8,16",-0.8113706188034749,0.0,0.0,-0.80604445984102
"8,2,16,8",0.0,0.0,0.0,0.0
"2,0,16,2",-0.1102152065587583,0.0,0.0,1.4380455834455692
"8,16,0,2",0.0,-0.171,2.1990963932403287,0.0
"16,2,0,4",0.0,-0.09,0.0,0.0
"2,16,8,8",0.0,0.0,0.0,36.48628434756688
"2,16,2,16",0.0,28.504210562955592,0.0,0.0
"0,2,4,32",-0.42170310000000005,0.0,-0.4436290000000001,0.0
"4,2,4,32",-0.19,-0.281,0.0,0.0
"8,2,2,32",0.0,0.0,0.0,0.0
"16,2,2,16",0.0,0.0,0.0,0.0
"2,0,4,32",-0.46953279000000003,0.0,0.0,-0.5123441000000001
"2,32,4,2",0.0,0.0,0.0,0.0
"2,32,2,4",-0.1,-0.029999999999999995,0.0,0.0
"4,32,2,4",0.0,0.0,0.0,0.0
"2,16,4,16",17.655516490000004,0.0,0.0,0.0
"2,2,8,32",0.0,0.0,-0.1,-0.19
"4,2,8,32",0.0,0.0,0.0,0.0
"2,4,8,32",0.0,0.0,0.0,0.0
"8,4,2,32",0.0,0.0,0.0,0.0
"4,16,16,2",0.0,0.0,0.0,0.0
"0,2,0,2",16.40330164954207,16.108270005885636,23.870447713373206,0.0
"0,0,4,4",23.870447713373206,0.0,16.40330164954207,16.108270005885636
"0,0,2,2",23.870447713373206,0.0,16.40330164954207,16.108270005885636
"0,4,0,4",16.40330164954207,16.108270005885636,23.870447713373206,0.0
"4,0,4,0",16.40330164954207,16.108270005885636,0.0,23.870447713373206
"2,2,0,4",0.0,12.584435670950983,28.356882597202976,9.064000159115128
"0,2,4,2",28.356882597202976,9.064000159115128,12.584435670950983,0.0
"4,0,2,2",12.584435670950983,0.0,9.064000159115128,28.356882597202976
"2,0,2,4",28.356882597202976,9.064000159115128,0.0,12.584435670950983
"2,2,4,0",0.0,12.584435670950983,9.064000159115128,28.356882597202976
"2,4,2,0",9.064000159115128,28.356882597202976,0.0,12.584435670950983
"0,4,2,2",12.584435670950983,0.0,28.356882597202976,9.064000159115128
"8,0,4,4",12.584435670950983,0.0,9.064000159115128,28.356882597202976
"8,4,0,4",9.064000159115128,28.356882597202976,12.584435670950983,0.0
"4,8,4,0",9.064000159115128,28.356882597202976,0.0,12.584435670950983
"4,0,4,8",28.356882597202976,9.064000159115128,0.0,12.584435670950983
"4,4,8,0",0.0,12.584435670950983,9.064000159115128,28.356882597202976
"0,8,4,4",12.584435670950983,0.0,28.356882597202976,9.064000159115128
"4,4,0,8",0.0,12.584435670950983,28.356882597202976,9.064000159115128
"2,2,4,2",3.668095568286411,7.999054744156643,26.000911153018762,1.9539646797000005
"2,2,2,4",1.9539646797000005,26.000911153018762,3.668095568286411,7.999054744156643
"2,4,2,2",26.000911153018762,1.9539646797000005,3.668095568286411,7.999054744156643
"4,4,4,8",1.9539646797000005,26.000911153018762,3.668095568286411,7.999054744156643
"8,4,4,4",26.000911153018762,1.9539646797000005,7.999054744156643,3.668095568286411
"4,8,4,4",26.000911153018762,1.9539646797000005,3.668095568286411,7.999054744156643
"4,4,8,4",3.668095568286411,7.999054744156643,26.000911153018762,1.9539646797000005
"2,2,4,4",0.0,0.0,6.842772783945394,24.927523847268006
"4,2,4,2",6.842772783945394,24.927523847268006,0.0,0.0
"8,4,8,4",6.842772783945394,24.927523847268006,0.0,0.0
"4,4,8,8",0.0,0.0,6.842772783945394,24.927523847268006
"8,2,4,0",0.0,20.76953754739053,0.0,1.420837615752576
"0,4,2,8",20.76953754739053,0.0,1.420837615752576,0.0
"0,2,4,8",1.420837615752576,0.0,20.76953754739053,0.0
"4,0,8,2",20.76953754739053,0.0,0.0,1.420837615752576
"8,4,2,0",0.0,1.420837615752576,0.0,20.76953754739053
"4,8,0,2",0.0,1.420837615752576,20.76953754739053,0.0
"2,0,8,4",1.420837615752576,0.0,0.0,20.76953754739053
"8,0,16,4",20.76953754739053,0.0,0.0,1.420837615752576
"4,0,16,8",1.420837615752576,0.0,0.0,20.76953754739053
"4,16,0,8",0.0,20.76953754739053,1.420837615752576,0.0
"0,4,8,16",1.420837615752576,0.0,20.76953754739053,0.0
"4,4,2,8",0.0,0.0,6.8423012031854284,26.53886678277477
